timestamp,roll,pitch,yaw,vel_x(cam),vel_y(cam),vei_z(cam),pos_x(cam),pos_y(cam),pos_z(cam),mag_x(NED),mag_y(NED),mag_z(NED)
1453415945460056756,1.44868,-0.0462641,-0.000509608,0.00880002,-0.0223144,-0.00225361,-0.184168,-0.0287477,-0.358847,0,0,0
1453415945485554394,1.44627,-0.0468622,-0.00118608,0.0219723,-0.0522072,-0.0144354,-0.183789,-0.0298069,-0.358884,0,0,0
1453415945511024919,1.44151,-0.0480604,-0.00162517,0.0319559,-0.0899386,-0.0304516,-0.183131,-0.0316121,-0.359223,0,0,0
1453415945536492883,1.87415,-0.0704177,-0.044037,0.068196,0.312027,-0.165743,-0.180932,-0.0168511,-0.366156,0,0,0
1453415945561977979,1.86349,-0.0742811,-0.0451678,0.0886857,0.404653,-0.194353,-0.179298,-0.00958177,-0.369698,0,0,0
1453415945587482679,1.83868,-0.0831945,-0.0480198,0.116927,0.53663,-0.243105,-0.176184,0.00486044,-0.376265,0,0,0
1453415945612918901,1.80985,-0.0887605,-0.0494406,0.155281,0.650704,-0.326619,-0.172619,0.0201896,-0.383484,0,0,0
1453415945638828589,1.78584,-0.0926507,-0.0510059,0.186977,0.723855,-0.410597,-0.169145,0.0342187,-0.390845,0,0,0
1453415945664241642,1.75676,-0.0938184,-0.0511133,0.235788,0.793646,-0.534281,-0.16374,0.0534999,-0.402694,0,0,0
1453415945689751487,1.72208,-0.0942931,-0.0510666,0.275896,0.88967,-0.644575,-0.157216,0.0749599,-0.417693,0,0,0
1453415945710130572,1.67806,-0.0947236,-0.0510599,0.316406,0.979461,-0.803223,-0.149672,0.0986913,-0.436215,0,0,0
1453415945735588347,1.62274,-0.0966748,-0.0510706,0.357513,1.04092,-0.971271,-0.141117,0.124423,-0.458632,0,0,0
1453415945761030808,1.56093,-0.101266,-0.0503898,0.400314,1.07145,-1.16876,-0.13148,0.151434,-0.485866,0,0,0
1453415945786517817,1.49832,-0.109089,-0.0489354,0.437497,1.04193,-1.40851,-0.120751,0.178634,-0.518943,0,0,0
1453415945812214425,1.45218,-0.117223,-0.0471815,0.472307,0.986017,-1.61328,-0.111474,0.199288,-0.549836,0,0,0
1453415945837653634,1.38603,-0.134513,-0.0434788,0.547569,0.873076,-1.96364,-0.0933053,0.232736,-0.613561,0,0,0
1453415945863165267,1.33885,-0.144557,-0.041909,0.651409,0.707125,-2.30621,-0.0713964,0.261451,-0.691108,0,0,0
1453415945889295385,1.32445,-0.144979,-0.0421128,0.706438,0.624695,-2.43654,-0.0610191,0.271778,-0.727486,0,0,0
1453415945914803145,1.30708,-0.140911,-0.0426925,0.764582,0.515286,-2.62089,-0.0459746,0.283571,-0.778997,0,0,0
1453415945935206994,1.28044,-0.130059,-0.0449672,0.855309,0.310602,-2.95597,-0.0127726,0.300645,-0.892115,0,0,0
1453415945960584330,1.2726,-0.126087,-0.046137,0.891642,0.240468,-3.06288,0.000578307,0.304865,-0.938092,0,0,0
1453415945986019750,1.26474,-0.124002,-0.047457,0.903914,0.150475,-3.19952,0.0142873,0.307813,-0.985891,0,0,0
1453415946011456366,1.25422,-0.123577,-0.0492345,0.950526,0.0131336,-3.39429,0.0378704,0.309976,-1.06956,0,0,0
1453415946036861688,1.24049,-0.124304,-0.0507252,1.02891,-0.203552,-3.68434,0.0781837,0.306133,-1.21403,0,0,0
1453415946062406995,1.23608,-0.123497,-0.0512035,1.06521,-0.292144,-3.78589,0.0941179,0.302397,-1.27088,0,0,0
1453415946087786648,1.23073,-0.121288,-0.051551,1.10528,-0.401686,-3.94279,0.116492,0.295207,-1.3504,0,0,0
1453415946113464995,1.22638,-0.118252,-0.0520531,1.14016,-0.516497,-4.07667,0.139378,0.285872,-1.43198,0,0,0
1453415946138911526,1.22259,-0.115876,-0.0530062,1.17512,-0.657433,-4.25849,0.168826,0.271091,-1.53792,0,0,0
1453415946164357217,1.21996,-0.114705,-0.0548959,1.21089,-0.788062,-4.41306,0.199106,0.252823,-1.6479,0,0,0
1453415946184722907,1.21817,-0.114316,-0.0562608,1.25098,-0.911838,-4.55814,0.230442,0.231205,-1.76186,0,0,0
1453415946210172809,1.21624,-0.114193,-0.0567888,1.28618,-1.01727,-4.67318,0.256244,0.211577,-1.85558,0,0,0
1453415946235595851,1.21192,-0.113201,-0.0564095,1.36093,-1.23625,-4.94072,0.316898,0.159874,-2.0759,0,0,0
1453415946261035103,1.21093,-0.112636,-0.0564914,1.3756,-1.28372,-5.0023,0.330849,0.14699,-2.12665,0,0,0
1453415946286519597,1.20873,-0.111222,-0.0575051,1.40859,-1.41208,-5.15928,0.366441,0.11232,-2.25658,0,0,0
1453415946312082611,1.20789,-0.110159,-0.0587018,1.43458,-1.50471,-5.26546,0.395336,0.0826257,-2.36258,0,0,0
1453415946337482301,1.20701,-0.109125,-0.0601453,1.46931,-1.62527,-5.40032,0.433062,0.0419409,-2.5012,0,0,0
1453415946363492532,1.20618,-0.108161,-0.060997,1.50711,-1.73848,-5.53789,0.471429,-0.00149086,-2.64231,0,0,0
1453415946389244765,1.20407,-0.107151,-0.0610331,1.5552,-1.92057,-5.74952,0.533701,-0.0761023,-2.87192,0,0,0
1453415946414682606,1.20341,-0.107174,-0.0613458,1.56888,-1.97176,-5.80176,0.549617,-0.0959041,-2.93072,0,0,0
1453415946435087811,1.2019,-0.107417,-0.0619184,1.59945,-2.08848,-5.92143,0.589947,-0.147572,-3.07992,0,0,0
1453415946460539372,1.20128,-0.107763,-0.0623833,1.62341,-2.1712,-6.01435,0.622719,-0.190923,-3.20135,0,0,0
1453415946485986296,1.20119,-0.107638,-0.0632609,1.65683,-2.27991,-6.13377,0.664436,-0.247569,-3.35576,0,0,0
1453415946511444847,1.2009,-0.107264,-0.0637143,1.68727,-2.38302,-6.24169,0.707525,-0.307579,-3.51509,0,0,0
1453415946537167970,1.19998,-0.10607,-0.0643161,1.71866,-2.48694,-6.34501,0.750912,-0.369482,-3.67526,0,0,0
